,Female,Male
18.0,155.0,1287.0
20.0,824.0,750.0
22.0,2198.0,2042.0
30.0,975.0,898.0
34.0,1499.0,1395.0
36.0,2075.0,1865.0
38.0,809.0,798.0
44.0,1353.0,1237.0
46.0,640.0,577.0
50.0,1276.0,1125.0
51.0,1026.0,1067.0
52.01,1122.0,659.0
52.02,1348.0,1105.0
54.0,1683.0,1522.0
56.01,1379.0,1136.0
56.02,792.0,731.0
58.0,1647.0,1661.0
60.0,1417.0,1490.0
62.0,1568.0,1494.0
64.0,1785.0,1699.0
66.0,1885.0,1746.0
68.0,2393.0,2388.0
70.0,1385.0,1164.0
72.0,903.0,955.0
74.0,2641.0,2689.0
75.0,2333.0,2121.0
76.0,2200.0,2240.0
78.0,2498.0,2520.0
80.0,2249.0,2111.0
82.0,1963.0,2109.0
90.0,1273.0,1260.0
94.0,2418.0,2437.0
96.0,2959.0,2941.0
98.0,3027.0,3094.0
100.0,3167.0,3104.0
102.0,2310.0,2306.0
104.0,2786.0,2744.0
106.0,2703.0,2757.0
108.0,2416.0,2357.0
110.0,1015.0,1002.0
114.0,2216.0,1900.0
116.0,2180.0,2079.0
118.0,1002.0,1007.0
120.0,581.0,672.0
122.0,2493.0,2552.0
126.0,1231.0,1291.0
128.01,1046.0,960.0
130.0,2452.0,2281.0
132.0,1071.0,1094.0
134.0,1962.0,1928.0
136.0,2071.0,1853.0
138.0,1689.0,1517.0
140.0,1044.0,968.0
142.0,1677.0,1561.0
148.0,649.0,573.0
150.0,845.0,719.0
152.0,1155.0,1085.0
160.0,2176.0,2070.0
162.0,978.0,908.0
164.0,575.0,598.0
166.0,1062.0,980.0
168.0,761.0,664.0
170.0,1495.0,1387.0
172.0,1515.0,1377.0
174.0,946.0,805.0
176.0,1160.0,1079.0
178.0,1347.0,1232.0
180.0,1457.0,1346.0
182.0,1572.0,1467.0
184.0,1040.0,937.0
186.0,965.0,883.0
188.0,1373.0,1242.0
190.0,2307.0,2288.0
192.0,1149.0,1171.0
194.0,1537.0,1533.0
196.0,1999.0,1850.0
198.0,916.0,794.0
200.0,1021.0,919.0
202.0,933.0,825.0
204.0,1029.0,931.0
206.0,1128.0,1064.0
208.0,1410.0,1247.0
210.0,1707.0,1600.0
212.0,1849.0,1789.0
214.0,913.0,898.0
216.0,1786.0,1815.0
218.0,1897.0,1888.0
220.0,2213.0,2239.0
221.0,1956.0,1972.0
222.0,2339.0,2380.0
228.0,1594.0,1832.0
230.0,2019.0,2157.0
232.0,2897.0,3162.0
234.0,2336.0,2374.0
236.0,2700.0,2522.0
238.0,2287.0,2183.0
240.0,2398.0,2236.0
242.0,1394.0,1414.0
244.0,1574.0,1495.0
246.0,1493.0,1418.0
248.0,1278.0,1170.0
250.0,779.0,753.0
252.0,2398.0,2256.0
254.0,1712.0,1667.0
256.0,1548.0,1408.0
258.0,2285.0,2044.0
260.0,1807.0,1656.0
262.0,1211.0,1153.0
264.0,2249.0,2191.0
266.0,1763.0,1636.0
268.0,2085.0,1932.0
270.0,1243.0,1094.0
272.0,1761.0,1688.0
274.0,1495.0,1390.0
276.0,1662.0,1669.0
278.0,1487.0,1271.0
280.0,866.0,819.0
282.0,1516.0,1374.0
284.0,2027.0,1799.0
286.0,2609.0,2375.0
288.0,1747.0,1756.0
290.0,1961.0,1841.0
292.0,1216.0,1226.0
294.0,1284.0,1067.0
296.0,2757.0,2586.0
298.0,1759.0,1596.0
421.0,1790.0,1691.0
428.0,1967.0,1688.0
430.0,1744.0,1547.0
432.0,1976.0,1884.0
434.0,1820.0,1709.0
436.0,2127.0,1893.0
462.01,1250.0,1197.0
464.0,1257.0,1280.0
468.0,520.0,462.0
470.0,1524.0,1496.0
472.0,1435.0,1534.0
474.0,1491.0,1492.0
476.0,1919.0,1875.0
478.0,2325.0,2591.0
480.0,1700.0,1742.0
484.0,2656.0,2588.0
486.0,1645.0,1931.0
488.0,2163.0,2230.0
489.0,2289.0,1731.0
490.0,3173.0,2980.0
492.0,1678.0,1668.0
494.0,2990.0,2606.0
508.04,3614.0,3032.0
516.01,3148.0,2439.0
610.02,1486.0,1261.0
696.02,2369.0,2214.0
726.0,1413.0,1122.0
902.0,2642.0,2242.0
906.0,2474.0,1677.0
1144.0,1163.0,1050.0
